reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
4768000,14257860,4797381,3643106,1873569,1305955,1278744,2.990322987,1.006162122,0.764074245,0.392946518,0.273899958,0.268192953
4800000,14354167,4826582,3671068,1888233,1315204,1291917,2.990451458,1.005537917,0.764805833,0.393381875,0.274000833,0.269149375
4832000,14449339,4861536,3691084,1900396,1320842,1294869,2.990343336,1.006112583,0.763883278,0.393293874,0.273353063,0.267977856
4864000,14545310,4892491,3718437,1912840,1334390,1308216,2.990400905,1.005857525,0.764481291,0.393264803,0.274340049,0.268958882
4896000,14640544,4922608,3739214,1924948,1336908,1309994,2.99030719,1.005434641,0.76372835,0.393167484,0.273061275,0.267564134
4928000,14737502,4961551,3771871,1932530,1348891,1325522,2.990564529,1.006808239,0.765395901,0.392153003,0.273719765,0.268977679
4960000,14832820,4988995,3790058,1948922,1351747,1326974,2.990487903,1.005845766,0.764124597,0.392927823,0.272529637,0.267535081
4992000,14934079,5021500,3820435,1960792,1364004,1338655,2.991602364,1.005909455,0.765311498,0.392786859,0.273237981,0.268160056
5024000,15025108,5052352,3844003,1973582,1375356,1347127,2.990666401,1.005643312,0.765127986,0.392830812,0.273757166,0.268138336
5056000,15120926,5083384,3861456,1985697,1378512,1351135,2.990689478,1.005416139,0.763737342,0.392740704,0.272648734,0.267233979
5088000,15221928,5118096,3892255,1993689,1388767,1365127,2.991731132,1.005915094,0.764987225,0.391841392,0.272949489,0.268303263
5120000,15313792,5146461,3911781,2009392,1394544,1366826,2.990975,1.005168164,0.764019727,0.392459375,0.272371875,0.266958203
5152000,15408984,5183325,3938359,2021100,1407842,1380348,2.990874224,1.006080163,0.764433036,0.392294255,0.273261258,0.267924689
5184000,15516828,5223734,3962520,2034081,1417392,1382112,2.993215278,1.007664738,0.764375,0.392376736,0.273416667,0.266611111
5216000,15600643,5250674,3979233,2046180,1421260,1395432,2.990920821,1.006647623,0.762889762,0.39228911,0.272480828,0.267529141
5248000,15702319,5279680,4006792,2058492,1433253,1406536,2.992057736,1.006036585,0.763489329,0.39224314,0.273104611,0.26801372
5280000,15793116,5306632,4031116,2068934,1439052,1406433,2.991120455,1.005043939,0.763468939,0.391843561,0.272547727,0.266369886
5312000,15894357,5341802,4051168,2077960,1450699,1419770,2.99216058,1.005610316,0.762644578,0.391182229,0.273098456,0.267275979
5344000,15992092,5375436,4082138,2093832,1458112,1423514,2.992532186,1.005882485,0.763873129,0.39180988,0.272850299,0.266376123
5376000,16081828,5404080,4102622,2106590,1460623,1434976,2.991411458,1.005223214,0.763136533,0.391850818,0.271693266,0.266922619
5408000,16181311,5436153,4127186,2117556,1474752,1442865,2.992106324,1.005205806,0.763163092,0.391559911,0.272698225,0.26680196
5440000,16278343,5466525,4147171,2131360,1478560,1447036,2.992342463,1.004875919,0.76234761,0.391794118,0.271794118,0.265999265
5472000,16374338,5505669,4175090,2144616,1491067,1458804,2.99238633,1.006152961,0.762991594,0.391925439,0.272490314,0.266594298
5504000,16469366,5531558,4199419,2154345,1498862,1462792,2.992253997,1.005006904,0.762975836,0.391414426,0.272322311,0.265768895
5536000,16566398,5563557,4223623,2167821,1501960,1475184,2.992485188,1.004977782,0.762937681,0.391586163,0.271307803,0.266471098
5568000,16662391,5600052,4243168,2177738,1518218,1482676,2.992527119,1.005756466,0.762063218,0.391116739,0.272668463,0.266285201
5600000,16757136,5626855,4271251,2190252,1523126,1487553,2.992345714,1.004795536,0.762723393,0.391116429,0.271986786,0.265634464
5632000,16854004,5661756,4297094,2199638,1529637,1500180,2.992543324,1.005283381,0.762978338,0.390560724,0.271597479,0.266367188
5664000,16952870,5696952,4324322,2214588,1541709,1506472,2.993091455,1.005817797,0.763474929,0.390993644,0.272194386,0.265973164
