reduction -- vector examples,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,,,  combine8_2,  combine8_4,  combine8_8 
5248000,15680452,5264625,2034165,1049772,725745,732708,2.987891006,1.003167873,0.38760766,0.200032774,0.138289825,0.139616616,,,,
5280000,15776990,5295957,2045822,1060432,729744,808096,2.988066288,1.003022159,0.387466288,0.200839394,0.138209091,0.153048485,,,,
5312000,15868543,5334038,2053754,1061767,739588,746085,2.987301017,1.00414872,0.386625377,0.199880836,0.139229669,0.140452748,,,,
5344000,15969355,5359200,2069572,1074760,737769,815959,2.988277507,1.002844311,0.38727021,0.201115269,0.138055576,0.152686939,,,,
5376000,16068756,5391105,2081635,1073793,741760,748392,2.988979911,1.00280971,0.387208891,0.199738281,0.13797619,0.139209821,,,,
5408000,16156483,5424496,2094096,1079844,753794,831561,2.987515348,1.003050296,0.387221893,0.199675296,0.139384985,0.153764978,,,,
5440000,16257009,5458816,2106163,1090970,749764,756780,2.988420772,1.003458824,0.387162316,0.200545956,0.137824265,0.139113971,,,,
5472000,16352983,5489200,2118290,1091750,753763,832204,2.988483735,1.003143275,0.387114401,0.199515716,0.137749086,0.152084064,,,,
5504000,16448203,5519162,2130331,1102524,764491,772360,2.988408975,1.002754724,0.387051417,0.200313227,0.138897347,0.140327035,,,,
5536000,16545220,5550744,2142153,1103745,761755,840112,2.988659682,1.002663295,0.386949603,0.199375903,0.137600253,0.151754335,,,,
5568000,16641400,5587972,2154040,1116220,765760,772411,2.988757184,1.003586925,0.386860632,0.200470546,0.137528736,0.13872324,,,,
5600000,16736241,5617826,2161740,1116021,775785,853977,2.988614464,1.003183214,0.386025,0.199289464,0.138533036,0.152495893,,,,
5632000,16835428,5649096,2178134,1128086,773743,780722,2.989245028,1.003035511,0.386742543,0.200299361,0.137383345,0.138622514,,,,
5664000,16933442,5682900,2190216,1127776,777748,856221,2.98966137,1.003336864,0.386690678,0.199112994,0.137314266,0.151168962,,,,
5696000,17025547,5710896,2204116,1140885,781768,793920,2.989035639,1.002615169,0.386958567,0.200295822,0.137248596,0.139382022,,,,
5728000,17121604,5749041,2214139,1139769,791049,864244,2.989106844,1.003673359,0.386546613,0.198982018,0.13810213,0.150880587,,,,
5760000,17217364,5774577,2226266,1152220,789753,796094,2.989125694,1.002530729,0.386504514,0.200038194,0.137109896,0.138210764,,,,
5792000,17312635,5809132,2239159,1151764,793756,877665,2.98905991,1.002957873,0.386595131,0.198854282,0.137043508,0.151530559,,,,
5824000,17409187,5843066,2250141,1165048,802636,804739,2.989214801,1.003273695,0.386356628,0.200042582,0.137815247,0.138176339,,,,
5856000,17515742,5871866,2262132,1163788,801751,880029,2.991076161,1.002709358,0.386293033,0.19873429,0.136911031,0.150278176,,,,
5888000,17604105,5908171,2274172,1169784,805783,820185,2.989827615,1.003425781,0.386238451,0.198672554,0.136851732,0.139297724,,,,
5920000,17697312,5934585,2286163,1175786,815904,888273,2.989410811,1.002463682,0.386176182,0.1986125,0.137821622,0.150046115,,,,
5952000,17797135,5973079,2298136,1181764,813770,820384,2.990110047,1.003541499,0.386111559,0.198549059,0.13672211,0.137833333,,,,
5984000,17889465,5999397,2310201,1192903,825511,902548,2.989549632,1.002573028,0.386063001,0.199348763,0.137953041,0.150826872,,,,
6016000,17988655,6035016,2322242,1193743,821769,828729,2.990135472,1.003160904,0.386010971,0.198428025,0.136597241,0.137754156,,,,
6048000,18081307,6064564,2334103,1207394,825751,918331,2.989634094,1.002738757,0.385929729,0.199635251,0.136532903,0.151840443,,,,
6080000,18183504,6098016,2346127,1208306,835701,836157,2.990707895,1.002963158,0.385876151,0.198734539,0.137450822,0.137525822,,,,
6112000,18277464,6129141,2359089,1216857,833937,921789,2.990422775,1.002804483,0.385976603,0.199093096,0.136442572,0.150816263,,,,
6144000,18368486,6163041,2372407,1222221,837789,849290,2.989662435,1.003099121,0.386133952,0.198929199,0.136358887,0.138230794,,,,
6176000,18469468,6194971,2382163,1223853,847893,929791,2.990522668,1.003071729,0.385712921,0.198162727,0.137288374,0.150549061,,,,
6208000,18565660,6226593,2394252,1237264,845752,852585,2.990602448,1.002995006,0.385672036,0.199301546,0.136235825,0.137336501,,,,
6240000,18657422,6269498,2406216,1235743,849768,944090,2.989971474,1.004727244,0.385611538,0.198035737,0.136180769,0.151296474,,,,
6272000,18759631,6295795,2418194,1246792,861583,860224,2.991012596,1.003793846,0.38555389,0.19878699,0.137369739,0.137153061,,,,
6304000,18853622,6326455,2430187,1247755,857750,945777,2.99073953,1.003562024,0.385499207,0.197930679,0.136064404,0.150028077,,,,
6336000,18950443,6354727,2442220,1258413,861763,873662,2.990915878,1.00295565,0.385451389,0.198613163,0.136010574,0.137888573,,,,
6368000,19064354,6384612,2454252,1259736,871569,953796,2.993774183,1.002608668,0.385403894,0.197822864,0.136866991,0.149779523,,,,
6400000,19160896,6418178,2466218,1272583,869750,882357,2.99389,1.002840313,0.385346563,0.198841094,0.135898438,0.137868281,,,,
6432000,19255960,6453513,2479269,1271750,873794,961807,2.993774876,1.003344683,0.385458489,0.197722326,0.135851057,0.14953467,,,,
6464000,19352834,6479628,2490235,1285785,882369,884234,2.993940903,1.002417698,0.385246751,0.198914759,0.136505105,0.136793626,,,,
6496000,19450929,6516156,2502180,1283748,881764,974659,2.994293257,1.003102833,0.385187808,0.197621305,0.135739532,0.150039871,,,,
