reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
7168000,21451996,7188468,2760204,966468,2.992744978,1.002855469,0.385073103,0.134830915,,,,,
7200000,21545594,7222120,2766134,975124,2.992443611,1.003072222,0.384185278,0.135433889,,,,,
7232000,21647944,7253500,2778396,974745,2.993355088,1.002972898,0.384180863,0.134782218,,,,,
7264000,21740788,7283488,2790400,978487,2.99294989,1.002682819,0.384140969,0.134703607,,,,,
7296000,21833673,7314787,2802441,986952,2.992553865,1.002574973,0.384106497,0.135273026,,,,,
7328000,21933393,7348507,2814446,986577,2.993094023,1.002798444,0.384067413,0.134631141,,,,,
7360000,22024536,7378526,2829895,995551,2.99246413,1.00251712,0.384496603,0.135265082,,,,,
7392000,22121505,7413900,2838091,994466,2.992627841,1.002962662,0.383940882,0.134532738,,,,,
7424000,22218340,7444711,2850424,998445,2.992772091,1.002789736,0.383947198,0.13448882,,,,,
7456000,22317655,7479436,2862429,1006598,2.99324772,1.00314324,0.383909469,0.135005097,,,,,
7488000,22409664,7508868,2874456,1006764,2.99274359,1.002786859,0.383875,0.134450321,,,,,
7520000,22505925,7539772,2889876,1015034,2.992809176,1.002629255,0.384292021,0.134977926,,,,,
7552000,22605434,7573819,2899216,1014523,2.99330429,1.002889168,0.383900424,0.134338321,,,,,
7584000,22700611,7603471,2910494,1022964,2.993224024,1.002567379,0.383767669,0.134884494,,,,,
7616000,22797424,7638981,2922429,1022822,2.993359244,1.003017463,0.383722295,0.134299107,,,,,
7648000,22890235,7675591,2934444,1026456,2.992970058,1.00360761,0.383687762,0.134212343,,,,,
7680000,22989559,7698948,2949993,1034467,2.993432161,1.002467188,0.384113672,0.134696224,,,,,
7712000,23081484,7736553,2958453,1034541,2.992931017,1.00318374,0.383616831,0.134146914,,,,,
7744000,23181780,7763671,2970472,1043196,2.993514979,1.00254016,0.383583678,0.134710227,,,,,
7776000,23277789,7795255,2982456,1057992,2.993542824,1.002476209,0.383546296,0.136058642,,,,,
7808000,23372894,7832976,2998821,1066560,2.993454662,1.00319877,0.384070313,0.136598361,,,,,
7840000,23471143,7859913,3006451,1066260,2.99376824,1.002539923,0.383475893,0.136002551,,,,,
7872000,23576013,7893612,3018477,1074679,2.994920351,1.002745427,0.383444741,0.136519182,,,,,
7904000,23669769,7928032,3030434,1074163,2.994657009,1.003040486,0.383405111,0.135901189,,,,,
7936000,45186640,7956220,3061723,1078332,5.693881048,1.002547883,0.385801789,0.135878528,,,,,
