dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
4640,1.68E+10,1.68E+10,1.68E+10,1.68E+10,1.68E+10,1.68E+10,1.55E+10,1.68E+10,,,,,,,,,
4672,1.72E+10,1.72E+10,1.72E+10,1.72E+10,1.72E+10,1.72E+10,1.58E+10,1.72E+10,,,,,,,,,
4704,1.75E+10,1.75E+10,1.75E+10,1.75E+10,1.75E+10,1.75E+10,1.61E+10,1.75E+10,,,,,,,,,
4736,1.79E+10,1.79E+10,1.79E+10,1.79E+10,1.79E+10,1.79E+10,1.65E+10,1.79E+10,,,,,,,,,
4768,1.83E+10,1.83E+10,1.83E+10,1.83E+10,1.83E+10,1.83E+10,1.68E+10,1.83E+10,,,,,,,,,
4800,1.86E+10,1.86E+10,1.86E+10,1.86E+10,1.86E+10,1.86E+10,1.72E+10,1.86E+10,,,,,,,,,
4832,1.90E+10,1.90E+10,1.90E+10,1.90E+10,1.90E+10,1.90E+10,1.75E+10,1.90E+10,,,,,,,,,
4864,1.94E+10,1.94E+10,1.94E+10,1.94E+10,1.94E+10,1.94E+10,1.78E+10,1.94E+10,,,,,,,,,
4896,1.98E+10,1.98E+10,1.98E+10,1.98E+10,1.98E+10,1.98E+10,1.82E+10,1.98E+10,,,,,,,,,
4928,2.02E+10,2.02E+10,2.02E+10,2.02E+10,2.02E+10,2.02E+10,1.86E+10,2.02E+10,,,,,,,,,
4960,2.06E+10,2.06E+10,2.06E+10,2.06E+10,2.06E+10,2.06E+10,1.89E+10,2.06E+10,,,,,,,,,
4992,2.10E+10,2.10E+10,2.10E+10,2.10E+10,2.10E+10,2.10E+10,1.93E+10,2.10E+10,,,,,,,,,
5024,2.13E+10,2.13E+10,2.13E+10,2.13E+10,2.13E+10,2.13E+10,1.96E+10,2.13E+10,,,,,,,,,
5056,2.17E+10,2.17E+10,2.17E+10,2.17E+10,2.17E+10,2.17E+10,2.00E+10,2.17E+10,,,,,,,,,
5088,2.21E+10,2.21E+10,2.21E+10,2.21E+10,2.21E+10,2.21E+10,2.03E+10,2.21E+10,,,,,,,,,
5120,2.25E+10,2.25E+10,2.25E+10,2.25E+10,2.25E+10,2.25E+10,2.07E+10,2.25E+10,,,,,,,,,
