dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
7232000,18101574,9092766,9081372,6509942,2351954,1981362,1832504,1942852,,2.502983131,1.257296184,1.255720686,0.900157909,0.325214878,0.273971515,0.253388274,0.268646571
7264000,18188176,9136870,9128106,6522534,2357448,1990036,1840240,2001066,,2.503878855,1.25782902,1.256622522,0.897925936,0.324538546,0.2739587,0.253337004,0.275477148
7296000,18264446,9169326,9182740,6565820,2368440,1998066,1847192,1961498,,2.503350603,1.256760691,1.258599232,0.899920504,0.324621711,0.27385773,0.253178728,0.268845669
7328000,18355440,9217622,9202224,6575010,2376150,2006060,1855918,2025074,,2.504836245,1.257863264,1.255762009,0.897244814,0.324256277,0.273752729,0.253263919,0.276347434
7360000,18423864,9248914,9240628,6606310,2386884,2014902,1862312,1982730,,2.503242391,1.256645924,1.255520109,0.897596467,0.324304891,0.273763859,0.253031522,0.269392663
7392000,18502796,9293664,9282538,6658938,2402360,2023420,1870352,2043758,,2.503083874,1.25725974,1.2557546,0.900830357,0.324994589,0.273731061,0.25302381,0.276482413
7424000,18584186,9332242,9323954,6703996,2407414,2032096,1877208,2003086,,2.503257813,1.257036907,1.255920528,0.903016703,0.324274515,0.273719828,0.252856681,0.269812231
7456000,18663584,9372112,9358708,6708122,2418550,2040856,1875066,2059098,,2.50316309,1.25698927,1.255191524,0.899694474,0.324376341,0.273719957,0.251484174,0.276166577
7488000,18742514,9411540,9401346,6728976,2427834,2042316,1885262,2018072,,2.503006677,1.256883013,1.255521635,0.898634615,0.324229968,0.272745192,0.2517711,0.269507479
7520000,18826628,9452684,9441322,6787456,2438982,2049872,1893178,2075146,,2.503540957,1.257005851,1.255494947,0.902587234,0.324332713,0.272589362,0.251752394,0.275950266
7552000,18901040,9491914,9483270,6777754,2448860,2059804,1901582,2033396,,2.502786017,1.256874206,1.255729608,0.897478019,0.324266419,0.27274947,0.251798464,0.269252648
7584000,18983424,9529040,9518364,6844820,2458254,2067316,1909898,2091980,,2.503088608,1.256466245,1.255058544,0.902534283,0.324136867,0.272589135,0.251832542,0.275841245
7616000,19060408,9573892,9563240,6874520,2468448,2075504,1916626,2050836,,2.502679622,1.257076155,1.255677521,0.902641807,0.324113445,0.272518908,0.251657826,0.269279937
7648000,19145946,9613634,9601808,6901362,2478770,2079954,1924054,2108234,,2.503392521,1.257012814,1.255466527,0.902374738,0.324106956,0.271960513,0.251576098,0.275658211
7680000,19220514,9653084,9642370,6933212,2493018,2087500,1932092,2067408,,2.502671094,1.256911979,1.255516927,0.902761979,0.324611719,0.271809896,0.251574479,0.26919375
7712000,19304998,9695578,9680922,6948562,2500584,2095910,1940182,2126174,,2.503241442,1.257206691,1.255306276,0.901006483,0.324245851,0.271772562,0.251579616,0.275696836
7744000,19382844,9728806,9717600,6946802,2510026,2106020,1948092,2084904,,2.502949897,1.256302428,1.254855372,0.897056043,0.324125258,0.271955062,0.251561467,0.269228306
7776000,19459980,9773218,9760584,7021486,2517076,2113194,1955068,2143040,,2.502569444,1.256843879,1.255219136,0.902968879,0.323698045,0.271758488,0.251423354,0.275596708
7808000,19550164,9815468,9802706,7045016,2532202,2120650,1957892,2101700,,2.503863217,1.257103996,1.255469518,0.902281762,0.324308658,0.271599641,0.250754611,0.269172643
7840000,19623874,9854262,9842618,7063800,2537846,2130414,1962642,2160872,,2.503045153,1.256921173,1.255435969,0.900994898,0.323704847,0.27173648,0.25033699,0.275621429
7872000,19703652,9892520,9882774,7061770,2548392,2142092,1970732,2123030,,2.503004573,1.256671748,1.255433689,0.897074441,0.323728659,0.272115346,0.250347053,0.269693852
7904000,19784746,9949316,9922162,7092144,2558950,2153208,1979782,2183274,,2.50313082,1.258769737,1.255334261,0.897285425,0.323753796,0.27242004,0.250478492,0.276223937
7936000,19865360,9990462,9962612,7176668,2571998,2158924,1986296,2139094,,2.503195565,1.25887878,1.255369456,0.904318044,0.32409249,0.272041835,0.250289315,0.269543095
7968000,19944750,10026202,10001606,7168778,2577402,2166524,1994686,2197558,,2.503106175,1.258308484,1.255221637,0.899696034,0.323469127,0.271903112,0.250337098,0.275797942
8000000,20026408,10067350,10048080,7204130,2587248,2176438,2001362,2151368,,2.503301,1.25841875,1.25601,0.90051625,0.323406,0.27205475,0.25017025,0.268921
8032000,20105730,10098698,10099000,7205098,2599692,2185060,2009940,2209078,,2.503203436,1.257308018,1.257345618,0.897049054,0.323666833,0.272044323,0.250241534,0.275034612
8064000,20188064,10132854,10135330,7270236,2606856,2193422,2018860,2172314,,2.503480159,1.256554315,1.256861359,0.901566964,0.323270833,0.272001736,0.250354663,0.269384177
8096000,20281486,10172836,10174294,7290038,2618206,2201282,2027062,2231310,,2.505124259,1.256526186,1.256706275,0.900449358,0.32339501,0.27189748,0.250378211,0.275606472
8128000,20343732,10213876,10210100,7287812,2630546,2210214,2034054,2190422,,2.502919783,1.256628445,1.256163878,0.896630413,0.32364001,0.271925935,0.250252707,0.269490896
8160000,20426590,10254052,10244764,7359738,2637242,2218776,2043200,2248958,,2.503258578,1.25662402,1.255485784,0.901928676,0.323191422,0.271908824,0.250392157,0.275607598
8192000,20509678,10292588,10280872,7375900,2647800,2227238,2050250,2207678,,2.503622803,1.256419434,1.254989258,0.900378418,0.323217773,0.271879639,0.250274658,0.269491943
8224000,20583118,10333032,10323720,7396442,2664042,2233798,2058624,2268292,,2.502811041,1.256448444,1.255316148,0.899372811,0.323935068,0.271619407,0.250319066,0.275813716
8256000,20663242,10372362,10361436,7439366,2667466,2237536,2065370,2222414,,2.502815165,1.256342297,1.255018895,0.901085998,0.323094234,0.27101938,0.25016594,0.269187742
8288000,20750796,10413290,10402576,7472536,2674824,2248472,2074158,2283516,,2.503715734,1.256429778,1.255137066,0.901609073,0.322734556,0.271292471,0.250260376,0.275520753
8320000,20823514,10452178,10441604,7508276,2689310,2255844,2080814,2245908,,2.502826202,1.256271394,1.255000481,0.902437019,0.323234375,0.271135096,0.250097837,0.269940865
8352000,20903324,10498222,10485504,7510420,2696334,2263772,2089334,2304312,,2.502792625,1.256971025,1.255448276,0.899236111,0.322836925,0.271045498,0.250159722,0.275899425
8384000,20990062,10531870,10521160,7514488,2705510,2272332,2097812,2263114,,2.503585639,1.256186784,1.254909351,0.896289122,0.322699189,0.271031966,0.250216126,0.26993249
8416000,21070470,10571706,10562902,7547850,2719524,2281050,2105574,2321594,,2.503620485,1.256143774,1.255097671,0.896845295,0.323137357,0.27103731,0.250187025,0.2758548
8448000,21143398,10615936,10605892,7599864,2725784,2289330,2112726,2281012,,2.50276965,1.256621212,1.255432292,0.899605114,0.322654356,0.270990767,0.250085938,0.270006155
8480000,21227250,10652116,10642264,7604160,2736452,2301030,2111184,2341930,,2.503213443,1.256145755,1.254983962,0.896716981,0.322694811,0.271347877,0.248960377,0.276170991
8512000,21302722,10691174,10681442,7627574,2748194,2305800,2125674,2296992,,2.502669408,1.256011983,1.254868656,0.89609657,0.322861137,0.270888158,0.249726739,0.269853383
8544000,21385956,10736084,10726672,7720450,2756934,2314110,2128904,2355674,,2.503037921,1.256564139,1.255462547,0.903610721,0.32267486,0.270846208,0.249169476,0.275710908
8576000,21467730,10771542,10763334,7723420,2768014,2322426,2136218,2314670,,2.503233442,1.256010028,1.255052938,0.900585354,0.322762826,0.270805271,0.249092584,0.269900886
8608000,21548250,10813018,10802278,7717154,2780904,2330630,2144216,2371966,,2.503281831,1.256159154,1.254911478,0.896509526,0.323060409,0.270751626,0.249095725,0.275553671
8640000,21623300,10855258,10844702,7766030,2786698,2339710,2152120,2334796,,2.502696759,1.256395602,1.255173843,0.898846065,0.322534491,0.270799769,0.249087963,0.270231019
8672000,21707262,10892016,10882116,7798764,2799778,2349740,2162226,2387908,,2.503143681,1.255998155,1.25485655,0.899303967,0.322852629,0.270957103,0.249334179,0.275358395
8704000,21785644,10936354,10925448,7822684,2807104,2356240,2168208,2347446,,2.502946232,1.256474494,1.255221507,0.898745864,0.322507353,0.270707721,0.249104779,0.269697381
8736000,21888814,10972506,10962090,7870502,2817436,2366518,2175696,2404606,,2.505587683,1.256010302,1.254817995,0.900927427,0.3225087,0.270892628,0.249049451,0.275252518
8768000,21949080,11014870,11004834,7901750,2831912,2377172,2183566,2364852,,2.503316606,1.256257984,1.255113367,0.901203239,0.322982664,0.271119069,0.249038093,0.26971396
8800000,22026140,11051876,11044910,7905454,2838136,2386384,2191656,2422896,,2.502970455,1.255895,1.255103409,0.898347045,0.322515455,0.27118,0.249051818,0.275329091
8832000,22110086,11094278,11085244,7914924,2850216,2398038,2199594,2388030,,2.503406476,1.256145607,1.255122736,0.896164402,0.322714674,0.271516984,0.249048234,0.270383832
8864000,22186276,11132696,11124718,7948506,2857394,2402838,2206402,2441724,,2.50296435,1.255944946,1.255044901,0.896717735,0.322359431,0.271078294,0.248917193,0.275465253
8896000,22269034,11175016,11166448,7993456,2871856,2419160,2217758,2414420,,2.503263714,1.256184353,1.255221223,0.898544964,0.32282554,0.27193795,0.249298336,0.271405126
8928000,22345848,11217140,11202888,8023674,2875932,2429590,2222042,2470858,,2.502895161,1.25640009,1.254803763,0.898709005,0.322125,0.272131496,0.248884633,0.276753808
8960000,22431574,11250850,11243566,8089874,2890642,2438090,2230212,2433726,,2.503523884,1.255675223,1.254862277,0.902887723,0.322616295,0.272108259,0.248907589,0.271621205
8992000,22543554,11296094,11285380,8061160,2899276,2450508,2246732,2485848,,2.507067838,1.256238212,1.255046708,0.896481317,0.322428381,0.272520907,0.249858986,0.276451068
9024000,22610110,11334454,11321394,8142914,2907572,2453900,2262514,2440414,,2.50555297,1.256034353,1.254587101,0.902361924,0.322204344,0.271930408,0.250721853,0.270435949
9056000,22670658,11373358,11370528,8122252,2921816,2461888,2270276,2497682,,2.50338538,1.255892005,1.255579505,0.896891784,0.322638693,0.27185159,0.250693021,0.275804108
9088000,22746524,11420608,11410028,8172326,2927206,2471388,2285400,2461156,,2.502918574,1.256669014,1.255504842,0.899243618,0.322095731,0.271939701,0.251474472,0.27081382
9120000,22825660,11456602,11450214,8198332,2941490,2490762,2297906,2525508,,2.502813596,1.25620636,1.255505921,0.898939912,0.322531798,0.273109868,0.251963377,0.276919737
9152000,22910378,11494290,11487252,8240660,2948212,2494398,2294556,2481240,,2.503319274,1.255932037,1.255163024,0.900421766,0.322138549,0.272552229,0.250716346,0.27111451
9184000,22990974,11539986,11528122,8287580,2964900,2503318,2300860,2537888,,2.503372605,1.256531577,1.255239765,0.902393293,0.322833188,0.272573824,0.250529181,0.276337979
9216000,23068290,11577974,11570494,8309118,2972540,2510178,2309006,2500844,,2.503069661,1.256290582,1.25547895,0.901597005,0.322541233,0.272371745,0.250543186,0.271358941
9248000,23147714,11621190,11608254,8287340,2985818,2521798,2317770,2553128,,2.502996756,1.256616566,1.255217777,0.896122405,0.322860943,0.27268577,0.250623919,0.276073529
9280000,23229470,11656712,11644982,8339128,2990900,2526932,2325166,2512756,,2.503175647,1.256111207,1.254847198,0.898612931,0.322295259,0.272298707,0.250556681,0.270771121
9312000,23310466,11690168,11693558,8370188,3003294,2535914,2333508,2570222,,2.503271692,1.255387457,1.255751503,0.898860395,0.322518686,0.272327534,0.250591495,0.276011813
9344000,23387806,11734368,11729454,8406204,3010670,2543748,2344410,2534318,,2.502975813,1.255818493,1.255292594,0.899636558,0.322203553,0.272233305,0.250900043,0.271224101
9376000,23473486,11777078,11765358,8437338,3022758,2556556,2348214,2589040,,2.503571459,1.256087671,1.254837671,0.899886732,0.322393131,0.272670222,0.250449445,0.276134812
9408000,23560856,11825374,11814760,8471464,3032534,2561864,2356542,2551336,,2.504342687,1.256948767,1.255820578,0.900453231,0.322335672,0.272306973,0.250482781,0.271187925
9440000,23655732,11876270,11865922,8503002,3046120,2575752,2363670,2606390,,2.505903814,1.258079449,1.256983263,0.900741737,0.322682203,0.272855085,0.250388771,0.276100636
9472000,23735898,11914536,11907960,8521982,3051876,2591130,2371380,2574952,,2.505901394,1.257869088,1.257174831,0.899702492,0.322199747,0.273556799,0.250356841,0.271848818
9504000,23813558,11956832,11946002,8532600,3065066,2594314,2382478,2625344,,2.505635311,1.258084175,1.256944655,0.897790404,0.322502736,0.272970749,0.250681608,0.27623569
9536000,23893828,11995484,11985062,8567884,3072078,2602894,2387014,2587928,,2.505644715,1.257915688,1.256822777,0.898477768,0.322155831,0.272954488,0.250316065,0.271385067
9568000,23971020,12037108,12024808,8613078,3089492,2613646,2394336,2647610,,2.505332358,1.258058946,1.256773411,0.900196279,0.322898411,0.273165343,0.250244147,0.276715092
9600000,24055396,12075132,12069152,8613750,3094274,2623836,2402928,2606176,,2.505770417,1.25782625,1.257203333,0.897265625,0.322320208,0.27331625,0.250305,0.271476667
9632000,24135770,12171320,12105598,8658902,3104676,2625296,2409984,2660856,,2.505790075,1.263633721,1.256810424,0.898972384,0.322329319,0.272559801,0.25020598,0.276251661
9664000,24217732,12135238,12145434,8692322,3116894,2631244,2420202,2624056,,2.505973924,1.255715853,1.256770902,0.899453849,0.322526283,0.272272765,0.25043481,0.271528974
9696000,24272308,12175844,12177618,8733726,3122936,2641686,2424996,2675960,,2.503332096,1.255759488,1.25594245,0.900755569,0.322084983,0.272451114,0.250102723,0.275985974
9728000,24354194,12215922,12206044,8767888,3137472,2646284,2433234,2635168,,2.503515008,1.255748561,1.254733141,0.901304276,0.322519737,0.272027549,0.25012685,0.270884868
9760000,24433058,12259042,12247004,8749418,3145044,2653424,2448440,2695924,,2.50338709,1.256049385,1.254815984,0.896456762,0.322238115,0.271867213,0.250864754,0.276221721
9792000,24511092,12294342,12286602,8811386,3156060,2663264,2454804,2650640,,2.503175245,1.255549632,1.254759191,0.899855596,0.322310049,0.27198366,0.250694853,0.270694444
9824000,24607164,12334446,12330182,8822930,3163402,2667466,2467624,2707794,,2.504800896,1.255542142,1.255108103,0.898099552,0.322007533,0.271525448,0.251183225,0.275630497
9856000,24677792,12373604,12367520,8821110,3175180,2677814,2471438,2670712,,2.503834416,1.255438718,1.254821429,0.894998985,0.322157062,0.271693791,0.250754667,0.270973214
9888000,24752768,12414380,12404544,8899666,3186172,2688950,2478754,2726114,,2.503313916,1.255499595,1.254504854,0.900047128,0.322226133,0.271940736,0.25068305,0.275699231
9920000,24830578,12453532,12445956,8910666,3190742,2696954,2486964,2685306,,2.50308246,1.255396371,1.254632661,0.898252621,0.321647379,0.271870363,0.250702016,0.270696169
9952000,24909760,12497490,12485066,8929792,3206268,2708866,2499672,2745008,,2.502990354,1.255776728,1.254528336,0.897286174,0.322173232,0.272193127,0.25117283,0.275824759
9984000,24993080,12534048,12531410,8957110,3210462,2719076,2501558,2697622,,2.503313301,1.255413462,1.255149239,0.897146434,0.321560697,0.272343349,0.250556691,0.270194511
10016000,25070158,12573742,12562758,8986908,3215160,2721318,2505422,2753658,,2.503010982,1.255365615,1.25426897,0.897255192,0.321002396,0.271697085,0.250141973,0.274925919
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wakeup delay calculated 0.072973,,,,,,,,,,,,,,,,,
